Fiyat,Marka,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Agirlik,Silindir_Sayisi,Maksimum Hız
405000.0,Renault,2007,275000.0,Düz,Dizel,Sedan,Gri (Gümüş),1461,106,Önden Çekiş,4.7,60,1584,4.0,170
520000.0,Renault,2013,256000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461,110,Önden Çekiş,4.4,60,1870,4.0,217
385000.0,Toyota,2009,260000.0,Düz,Dizel,Sedan,Gri (Gümüş),1364,90,Önden Çekiş,4.9,55,1590,4.0,189
660000.0,Toyota,2012,192000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1364,90,Önden Çekiş,4.8,55,1535,4.0,160
459000.0,Seat,2007,249000.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1595,102,Önden Çekiş,7.6,55,1814,4.0,185
740000.0,Ford,2015,208000.0,Yarı Otomatik,LPG & Benzin,Sedan,Lacivert,1596,125,Önden Çekiş,6.3,55,1749,4.0,175
975000.0,Renault,2019,51000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461,110,Önden Çekiş,3.8,49,1579,4.0,162
835000.0,Honda,2012,89000.0,Düz,Benzin,Sedan,Gri (Gümüş),1595,125,Önden Çekiş,6.7,50,1783,4.0,184
570000.0,Renault,2017,148400.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,1375,4.0,160
600000.0,Volkswagen,2005,106200.0,Otomatik,Benzin,Hatchback/3,Gri,1595,102,Önden Çekiş,7.4,55,1605,3.0,170
569900.0,Ford,2011,197000.0,Düz,LPG & Benzin,Hatchback/5,Beyaz,1596,100,Önden Çekiş,6.7,55,1693,4.0,197
650000.0,Seat,2014,247000.0,Düz,Dizel,Hatchback/5,Beyaz,1598,105,Önden Çekiş,4.4,55,1708,4.0,176
745000.0,Volkswagen,2012,147000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1390,122,Önden Çekiş,6.0,55,1790,4.0,181
825000.0,Renault,2020,50000.0,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1332,130,Önden Çekiş,5.2,42,1750,4.0,182
460000.0,Volkswagen,2004,295000.0,Otomatik,Dizel,Sedan,Diğer,1896,130,Önden Çekiş,7.0,62,2330,6.0,244
455000.0,Kia,2006,155000.0,Düz,Dizel,Hatchback/5,Kahverengi,1493,102,Önden Çekiş,4.9,55,1241,4.0,200
720000.0,Toyota,2015,138000.0,Otomatik,Benzin,Sedan,Beyaz,1598,132,Önden Çekiş,6.1,55,2000,4.0,203
685000.0,Seat,2016,129000.0,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197,110,Önden Çekiş,4.9,50,1460,4.0,170
439901.0,Opel,2004,198000.0,Düz,LPG & Benzin,MPV,Beyaz,1598,100,Önden Çekiş,7.5,53,1785,4.0,185
1450000.0,Peugeot,2021,55000.0,Otomatik,Dizel,Sedan,Siyah,1499,130,Önden Çekiş,3.8,55,1770,4.0,190
1445000.0,Peugeot,2021,55000.0,Otomatik,Dizel,Sedan,Siyah,1499,130,Önden Çekiş,3.8,55,1730,4.0,191
595000.0,Hyundai,2013,55000.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),1248,85,Önden Çekiş,4.9,45,1855,4.0,175
525000.0,Renault,2010,143000.0,Düz,Benzin,Sedan,Beyaz,1598,110,Önden Çekiş,6.8,60,1609,4.0,167
725500.0,Peugeot,2010,188000.0,Otomatik,Benzin,Bilinmiyor,Beyaz,1598,142,Önden Çekiş,8.1,60,1840,4.0,210
419900.0,Ford,2006,202798.0,Düz,Dizel,Hatchback/5,Mavi (metalik),1399,68,Önden Çekiş,4.3,45,2020,4.0,208
380000.0,Renault,2006,251000.0,Düz,Dizel,Sedan,Gri,1461,80,Önden Çekiş,4.7,50,2020,4.0,208
719900.0,Opel,2011,148031.0,Otomatik,Benzin,Hatchback/5,Beyaz,1364,140,Önden Çekiş,7.0,56,1475,4.0,168
285000.0,Tofaş,1998,222222.0,Düz,LPG & Benzin,Sedan,Mavi (metalik),1581,96,Arkadan İtiş,6.6,45,1745,4.0,197
1645000.0,Skoda,2021,43000.0,Yarı Otomatik,Benzin,Hatchback/5,Gri,1498,150,Önden Çekiş,5.4,66,1710,4.0,193
485000.0,Volkswagen,2005,240000.0,Düz,Benzin,Hatchback/5,Kırmızı,1598,115,Önden Çekiş,6.7,55,2055,4.0,205
365000.0,Volkswagen,2001,108000.0,Düz,Benzin,Hatchback/5,Kırmızı,1390,100,Önden Çekiş,6.7,45,1535,4.0,164
745000.0,Renault,2017,122000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1461,110,Önden Çekiş,3.8,49,1500,4.0,162
445000.0,Hyundai,2012,195000.0,Düz,Dizel,Hatchback/5,Gri (Gümüş),1396,90,Önden Çekiş,4.3,45,1870,4.0,200
669000.0,Renault,2018,156000.0,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461,90,Önden Çekiş,3.7,45,2075,4.0,219
625901.0,Citroen,2017,77000.0,Düz,Dizel,Sedan,Beyaz,1560,93,Önden Çekiş,4.1,48,1770,4.0,192
